system:index,category_bonus,distance_weighted_score,elevation,land_cover_class,mean_distance_to_water,mean_ndvi,nighttime_light,norm_distance_weighted,num_sources,pressure_score,random,score,slope,tile_id,water_point_population,water_source_category,.geo
4848,0.1,1.8918873948916564,1225.4690895423805,10.000000000000009,2000.0,0.5466820698773818,0.5070509838356692,0.09459436974458282,2,1.9416666714350386,0.030658168977207745,0.6994277040315905,4.963334850003299,tile_1828,582.5,Well,"{""type"":""Polygon"",""coordinates"":[[[32.11000000000001,0.37999999999999995],[32.120000000000005,0.37999999999999995],[32.120000000000005,0.39000000000000007],[32.11,0.39000000000000007],[32.11000000000001,0.37999999999999995]]]}"
1385,-0.1,0.9461299186268918,1222.7762924163103,20.00000000000005,2000.0,0.5710415062140695,0.2142150681027251,0.04730649593134459,1,22.5,0.030662531560831874,0.7723064959313446,5.7863972440031315,tile_1829,1125.0,Rainwater Harvesting,"{""type"":""Polygon"",""coordinates"":[[[31.95999999999999,0.25],[31.970000000000002,0.25],[31.970000000000002,0.26000000000000006],[31.95999999999999,0.26000000000000006],[31.95999999999999,0.25]]]}"
33706,0.1,10.0,1052.4282436141257,19.999999999999996,2000.0,0.29030496313058674,0.17889238131954643,0.5,29,2.882413794747715,0.030669960231685778,1.34942758653575,1.9724807630772971,tile_1830,864.7241379310345,Well,"{""type"":""Polygon"",""coordinates"":[[[33.35999999999999,1.4600000000000004],[33.36999999999999,1.4600000000000002],[33.36999999999999,1.4700000000000002],[33.35999999999999,1.4700000000000002],[33.35999999999999,1.4600000000000004]]]}"
27775,0.1,10.0,1052.9119666782444,19.999999999999982,2000.0,0.3525634170692527,0.23926274886318274,0.5,27,3.0720987307289502,0.03067366380104042,1.3334740740740743,2.1897686752555976,tile_1831,667.3703703703703,Well,"{""type"":""Polygon"",""coordinates"":[[[33.1,1.9500000000000004],[33.10999999999999,1.95],[33.11,1.9600000000000002],[33.10000000000001,1.9600000000000002],[33.1,1.9500000000000004]]]}"
19780,0.1,10.0,1242.905420988645,10.000000000000107,2000.0,0.6740979638764889,0.5230588135999791,0.5,29,2.41446670460908,0.030700387888686453,1.2080372053548836,8.488976808876213,tile_1832,625.7193221653375,Well,"{""type"":""Polygon"",""coordinates"":[[[32.76,0.2],[32.76999999999999,0.2],[32.769999999999996,0.21000000000000002],[32.76,0.21000000000000002],[32.76,0.2]]]}"
9589,0.1,5.710274310728108,1060.1216484125507,30.000000000000377,2000.0,0.3089488685138122,0.27054901941149845,0.2855137155364054,9,2.186666692627801,0.03071127531606288,0.9540470540619655,2.27042998846138,tile_1833,656.0,Well,"{""type"":""Polygon"",""coordinates"":[[[32.309999999999995,1.7900000000000005],[32.319999999999986,1.79],[32.31999999999999,1.7999999999999998],[32.31,1.7999999999999998],[32.309999999999995,1.7900000000000005]]]}"
99,-0.1,0.0,1057.8623950626443,10.000000000000004,291.1803312225557,0.5834699708918946,0.2611701229795876,0.0,0,0,0.030732279122395623,-0.1,2.0395223775289466,tile_1834,0,Unknown,"{""type"":""Polygon"",""coordinates"":[[[31.900000000000002,1.1899999999999997],[31.909999999999993,1.19],[31.91,1.2],[31.900000000000002,1.1999999999999997],[31.900000000000002,1.1899999999999997]]]}"
23305,0.1,10.0,1059.3733142012838,30.00000000000029,2000.0,0.4872608643990424,0.21307148471275647,0.5,20,3.846500053644179,0.030732724837932324,1.34484,2.3197229330707714,tile_1835,724.2,Well,"{""type"":""Polygon"",""coordinates"":[[[32.910000000000004,0.9499999999999997],[32.919999999999995,0.9499999999999997],[32.919999999999995,0.96],[32.91,0.9599999999999997],[32.910000000000004,0.9499999999999997]]]}"
56058,-0.1,0.0,1077.2088271213065,30.0,2000.0,0.41380967042080813,0.20693333472691328,0.0,0,0,0.03074829727710282,-0.1,1.8089843468153715,tile_1836,0,Unknown,"{""type"":""Polygon"",""coordinates"":[[[34.330000000000005,1.8800000000000003],[34.34,1.8800000000000003],[34.34,1.8900000000000001],[34.33,1.8899999999999997],[34.330000000000005,1.8800000000000003]]]}"
44048,0.1,0.9484378066233982,1071.1529493768144,20.00000000000004,2000.0,0.424955341527415,0.21219952649144985,0.04742189033116991,1,1.0299999713897705,0.030791033676166868,0.415221884609124,2.065344195112923,tile_1837,309.0,Well,"{""type"":""Polygon"",""coordinates"":[[[33.81,1.38],[33.81999999999999,1.3799999999999997],[33.82,1.39],[33.81,1.3900000000000001],[33.81,1.38]]]}"
21885,0.1,10.0,1123.3381713618721,19.99999999999997,2000.0,0.6302450316973393,0.2883305625117498,0.5,52,2.0348717911121166,0.03082759773438626,1.0974128197608848,3.558475707440008,tile_1838,452.1923076923077,Well,"{""type"":""Polygon"",""coordinates"":[[[32.85,0.5500000000000002],[32.86,0.5500000000000002],[32.86,0.56],[32.85,0.56],[32.85,0.5500000000000002]]]}"
14842,-0.1,10.0,1040.456381073845,20.000000000000032,399.34141910103114,0.35357205169032463,0.3820549025839451,0.5,16,3.5750401276813584,0.0308459637089169,1.1155235594021073,2.2747595100363722,tile_1839,577.6177970105379,unknown,"{""type"":""Polygon"",""coordinates"":[[[32.54,1.4200000000000002],[32.55,1.4200000000000004],[32.55,1.43],[32.54,1.43],[32.54,1.4200000000000002]]]}"
20060,0.1,10.0,1066.4054645711003,10.000000000000004,1077.3807982990058,0.6839085618368539,0.2809233141593718,0.5,44,3.2789393863533487,0.030868241338253277,1.3145318181818182,1.9524694631706498,tile_1840,572.6590909090909,Well,"{""type"":""Polygon"",""coordinates"":[[[32.76999999999999,0.7],[32.779999999999994,0.7000000000000001],[32.779999999999994,0.7100000000000002],[32.76999999999999,0.7100000000000001],[32.76999999999999,0.7]]]}"
48058,0.1,2.4245120270029887,1096.7356253772257,29.999999999999982,2000.0,0.23925614966957628,0.20763322803247306,0.12122560135014944,3,1.2966666666666662,0.030872447323030294,0.5583589346834827,1.8002949501503247,tile_1841,389.0,Well,"{""type"":""Polygon"",""coordinates"":[[[33.98,2.3800000000000003],[33.989999999999995,2.3800000000000003],[33.989999999999995,2.39],[33.98,2.39],[33.98,2.3800000000000003]]]}"
43446,0.1,10.0,1105.754943974955,30.00000000000015,2000.0,0.2707715033240472,0.24544313638818038,0.5,25,0.97252984916744,0.030883887137697186,0.8528577605947069,2.0878438449228724,tile_1842,291.7589538060944,Well,"{""type"":""Polygon"",""coordinates"":[[[33.78,2.2600000000000002],[33.79,2.2600000000000002],[33.78999999999999,2.2699999999999996],[33.78,2.2699999999999996],[33.78,2.2600000000000002]]]}"
2141,0.1,1.519965402681015,1078.4176176044646,20.000000000000032,2000.0,0.5012279851769822,0.29301960642431296,0.07599827013405075,3,1.2544444196091755,0.030884089417841043,0.4508204873892192,2.5955063475910367,tile_1843,119.66666666666667,Well,"{""type"":""Polygon"",""coordinates"":[[[31.990000000000002,0.9099999999999998],[32.0,0.91],[32.0,0.9200000000000003],[31.990000000000002,0.92],[31.990000000000002,0.9099999999999998]]]}"
46961,0.1,1.8816830474827113,1088.6911674699172,19.99999999999999,2000.0,0.47641577322642237,0.1663793107103498,0.09408415237413557,2,0.8116666475931802,0.03093683673921921,0.40511748189277164,2.7221379034099726,tile_1844,243.5,Well,"{""type"":""Polygon"",""coordinates"":[[[33.94,0.6100000000000001],[33.949999999999996,0.61],[33.949999999999996,0.6200000000000001],[33.94,0.6200000000000001],[33.94,0.6100000000000001]]]}"
