latitude,longitude,status_id,water_source_clean,water_source_category,distance_to_primary_road,distance_to_secondary_road,distance_to_tertiary_road,distance_to_city,distance_to_town,local_population_1km,water_point_population,pressure_score,is_urban
-0.65752,34.10627,Yes,Protected Spring,Spring,72152.42942230949,3984.144090074524,5166.738024402763,73648.9776144087,28391.23852809668,1533.0,1533.0,6.132,false
-0.107082,34.529724,Yes,Protected Well,Well,12394.157150568384,295.55847970382376,1416.7575054493143,24990.168175798604,19306.32033221807,2162.0,470.0,1.566666666666667,false
0.003348333295435,34.74856948852539,Yes,Protected Well,Well,9139.693802046431,3020.348187218439,485.1289250734388,11766.1027179779,1193.6567845774082,3345.0,936.0,3.12,false
-0.486365,35.02912,Yes,Protected Well,Well,23190.590799032558,161.95122439332837,1013.89745832454,31240.273257670146,11036.119052513028,2525.0,519.0,1.73,false
-0.254729,34.882565,Yes,Protected Well,Well,10661.90729927552,6833.174762571892,6271.271455571655,22047.10257516397,9966.399586592015,2504.0,151.0,0.503333333333333,false
-0.11303,34.52343,Yes,Protected Well,Well,13354.351810096092,324.91014288088905,900.7801913995931,25710.920113691845,20244.94092414578,2339.0,528.0,1.76,false
-0.1136025,34.7683032,Yes,Borehole/Tubewell,Well,846.922551297022,1782.1350064292749,253.70834320141984,1967.4259059726007,10074.774434278152,34963.0,3178.0,10.593333333333334,true
-0.481656670570374,34.87715530395508,Yes,Borehole/Tubewell,Well,23970.5115935556,12840.475650483526,1093.8039878938205,24066.739581879243,11432.26236602332,1720.0,522.0,1.74,false
0.04429666697979,34.387474060058594,Yes,Protected Well,Well,10187.145097359606,798.1586609585471,1258.1584500020303,43946.98299041583,11417.716992571624,1136.0,144.0,0.48,false
-0.3582702,34.9077206,Yes,Borehole/Tubewell,Well,20558.11512782647,1145.62623520111,17.804609517581643,33006.55698179484,17644.194762778345,1136.0,1082.0,3.606666666666666,false
-0.982061684131622,34.4328498840332,Yes,Protected Well,Well,50253.68159591144,8321.039488846249,423.23563123594033,50844.21683563108,10074.33144840882,1637.0,512.0,1.706666666666667,false
0.025609999895096,34.65254211425781,Yes,Protected Well,Well,5616.987268295031,394.2524689515809,2920.947641018086,18164.767805251096,3128.020715485389,2900.0,441.0,1.47,false
-0.3059933,34.933865,Yes,Borehole/Tubewell,Well,14542.052012807371,443.4745000719556,447.7015812571784,30072.757928611343,14864.43870697214,1809.0,293.0,0.976666666666667,false
0.049081923,34.6990034944,Yes,Protected Well,Well,11627.003772446193,1748.395687914058,1322.168832945569,17893.57157528636,2289.678559610463,3988.0,145.0,0.483333333333333,false
-0.6990812,34.8456975,Yes,Protected Well,Well,2438.2554039982365,3227.7635168510355,3586.0074560037865,9271.358443393112,14290.675758057689,2166.0,592.0,1.973333333333333,false
-0.498318333,34.95756,Yes,Protected Well,Well,24788.163186401467,4811.147847089441,103.8164833431338,28356.97960236447,7931.709816839237,1733.0,1015.0,3.383333333333333,false
-0.063051663339138,34.41112518310547,Yes,Borehole/Tubewell,Well,19528.68758158456,257.2994687140109,819.9050919554918,38441.93039266071,15784.692979018491,1752.0,370.0,1.233333333333333,false
-0.5183833,34.54617,Yes,Protected Well,Well,28167.00471624755,913.438479678239,5835.41399384431,29790.75532514835,12477.886345745945,1034.0,553.0,1.843333333333333,false
-0.463191667,34.97650667,Yes,Protected Well,Well,26562.05133471011,4103.063973721297,782.0215289172467,32553.359486211422,12369.928771643896,2681.0,708.0,2.36,false
-0.025666667,34.81483333,Yes,Borehole/Tubewell,Well,7910.513838315718,2230.4113428839432,2625.2712882295164,10887.90598034777,7526.692389143473,1251.0,778.0,2.593333333333333,false
-0.761280000209808,34.53005599975586,Yes,Protected Well,Well,27234.400888521053,6327.667887693001,1662.0204553341937,28345.68705561829,8200.859294606786,1594.0,1081.0,3.603333333333334,false
-0.59559,34.8972217,Yes,Protected Well,Well,15038.966081536966,493.62459334981247,1987.4521940253703,16558.71610962853,5351.240630318306,3717.0,722.0,2.406666666666667,false
0.029853332787752,34.482791900634766,Yes,Protected Well,Well,8190.542234608535,2461.40393897118,4977.618685734925,33588.45467410685,16077.739280107113,775.0,711.0,2.37,false
-0.2313676,35.0098746,Yes,Borehole/Tubewell,Well,8940.273555567814,6006.342046721789,181.57575741567447,31811.41367621385,10556.150536137047,777.0,492.0,1.64,false
-0.0573951,34.5710629,Yes,Undefined Well,Well,5261.951419800048,5249.423553391199,2815.5077578161136,20996.206085551326,12198.262387155137,2545.0,1375.0,4.583333333333333,false
0.0285915884,34.6601890822,Yes,Protected Well,Well,6529.855372136973,173.64396105488643,3322.0427853057213,17913.69665900952,3819.7971834099512,3410.0,177.0,0.59,false
-0.12527101,34.960541,Yes,Protected Well,Well,3902.332155440082,7873.218250483222,709.6372729472857,23104.26222503896,6965.949354028442,2759.0,192.0,0.64,false
-0.236333,34.852833,Yes,Borehole/Tubewell,Well,11481.02909139938,9358.456584535992,2617.884597471349,18392.00203539706,10209.619096996928,2275.0,1255.0,4.183333333333334,false
-0.7829405074,34.4156426598,Yes,Borehole/Tubewell,Well,39972.70490017931,7800.600355349062,23.427267498544683,41159.532201610025,15481.65616069924,523.0,142.0,0.473333333333333,false
